epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.7107151746749878,-0.7107151746749878,0.7091410954793295,-0.7091410954793295
1,0.7107798457145691,-0.7107798457145691,0.7092097997665405,-0.7092097997665405
2,0.7108466873566309,-0.7108466873566309,0.7092785636583964,-0.7092785636583964
3,0.7109135836362839,-0.7109135836362839,0.709346354007721,-0.709346354007721
4,0.7109802663326263,-0.7109802663326263,0.7094144026438395,-0.7094144026438395
5,0.7110467404127121,-0.7110467404127121,0.7094822724660238,-0.7094822724660238
6,0.7111130108435949,-0.7111130108435949,0.7095498243967692,-0.7095498243967692
7,0.7111789087454478,-0.7111789087454478,0.7096172372500101,-0.7096172372500101
8,0.7112447520097097,-0.7112447520097097,0.7096842130025228,-0.7096842130025228
9,0.711310625076294,-0.711310625076294,0.7097510695457458,-0.7097510695457458
10,0.7113761653502783,-0.7113761653502783,0.7098176678021749,-0.7098176678021749
11,0.7114417105913162,-0.7114417105913162,0.7098847031593323,-0.7098847031593323
12,0.7115073253711065,-0.7115073253711065,0.7099513411521912,-0.7099513411521912
13,0.7115735212961832,-0.7115735212961832,0.71001797914505,-0.71001797914505
14,0.7116389125585556,-0.7116389125585556,0.7100856105486552,-0.7100856105486552
15,0.7117046813170115,-0.7117046813170115,0.7101520101229349,-0.7101520101229349
16,0.7117698142925898,-0.7117698142925898,0.7102184693018595,-0.7102184693018595
17,0.711835503578186,-0.711835503578186,0.7102869947751363,-0.7102869947751363
18,0.7119016150633494,-0.7119016150633494,0.7103529175122579,-0.7103529175122579
19,0.7119669914245605,-0.7119669914245605,0.7104193965593973,-0.7104193965593973
20,0.7120321740706762,-0.7120321740706762,0.7104864517847697,-0.7104864517847697
0,0.9534711837768555,-0.9534711837768555,0.9502350489298502,-0.9502350489298502
1,0.960200900832812,-0.960200900832812,0.9570637543996176,-0.9570637543996176
2,0.9654493431250254,-0.9654493431250254,0.9625959197680155,-0.9625959197680155
3,0.970085879166921,-0.970085879166921,0.967605193456014,-0.967605193456014
4,0.9743995020786921,-0.9743995020786921,0.9719663063685099,-0.9719663063685099
5,0.9779038528601328,-0.9779038528601328,0.9752194285392761,-0.9752194285392761
6,0.9803428500890732,-0.9803428500890732,0.9775377114613851,-0.9775377114613851
7,0.9821155220270157,-0.9821155220270157,0.9792998631795248,-0.9792998631795248
8,0.9834471195936203,-0.9834471195936203,0.980688750743866,-0.980688750743866
9,0.9844876925150553,-0.9844876925150553,0.9818150798479716,-0.9818150798479716
10,0.9853253612915674,-0.9853253612915674,0.9827429056167603,-0.9827429056167603
11,0.986018160978953,-0.986018160978953,0.9835282762845358,-0.9835282762845358
12,0.9866084853808085,-0.9866084853808085,0.9842123587926229,-0.9842123587926229
13,0.9871222823858261,-0.9871222823858261,0.9848191936810812,-0.9848191936810812
14,0.9875784913698832,-0.9875784913698832,0.9853671391805013,-0.9853671391805013
15,0.9879898230234782,-0.9879898230234782,0.9858689506848654,-0.9858689506848654
16,0.9883650143941244,-0.9883650143941244,0.9863328735033671,-0.9863328735033671
17,0.9887107710043589,-0.9887107710043589,0.9867662787437439,-0.9867662787437439
18,0.9890327701965967,-0.9890327701965967,0.9871762196222941,-0.9871762196222941
19,0.9893354376157125,-0.9893354376157125,0.9875665108362833,-0.9875665108362833
20,0.9896218925714493,-0.9896218925714493,0.9879390398661295,-0.9879390398661295
21,0.9898940573136011,-0.9898940573136011,0.9882953763008118,-0.9882953763008118
22,0.9901537001132965,-0.9901537001132965,0.9886384606361389,-0.9886384606361389
23,0.9904025594393412,-0.9904025594393412,0.9889699618021647,-0.9889699618021647
